co_num;co_name;co_title;co_region;co_career;co_education;co_salary;co_skill;co_work;co_prefer;co_dday;co_ceo;co_establish;co_type;co_employee;co_sector;co_website
67;(주)마이띵스;(주)마이띵스 C / C++ 소프트웨어 개발자 모집;서울 마포구;신입, 경력;대졸(2,3년제) 이상;면접 후 결정;c, c++;Desktop Application, loT 제품 펌웨어 개발 및 유지보수;Linux 운영체제 개발 경험, 컴퓨터공학 계열 전공자;상시 채용;이상호;2012년 11월 14일;중소기업;17;배전반 및 전기 자동제어반 제조업;www.mythings.co.kr
68;(주)넷맨;(주)넷맨 연구소 신입/경력 상시 채용;서울 금천구;신입, 경력;학력 무관;연봉 4000만원 이상;c, c++, python;리눅스 서버 시스템 개발;C/C++, Python, PHP 언어 중 하나 이상의 지식 보유, DB 및 Linux 지식 보유자, 보안 솔루션 서버 개발 경험자;상시 채용;서승호;2001년 09월 01일;중소기업;64;시스템 소프트웨어 개발 및 공급업;www.netmain.co.kr
69;비전세미콘(주);비전세미콘(주) 기술연구소 S/W 개발 신입/경력 모집;세종시;신입, 경력;대졸(4년제) 이상;면접 후 결정;c++, c#, python;Windows/LINUX 기반 Application SW 개발;자동화 관련 S/W 개발 경력자, LINUX 기반 개발 환경 개발 경험자, 라즈베리파이 기반 개발 경험자;2024.01.19;윤통섭;2001년 03월 09일;중소기업;131;반도체 제조용 기계 제조업;www.visionsemicon.co.kr
70;(주)이노테크;(주)이노테크 제어팀 신입 또는 경력직 모집;충남 아산시;신입, 경력;학력 무관;면접 후 결정;c++, c#;검사장비/자동화 장비 제어SW개발, SW Set up 및 유지보수;디스플레이/반도체/FA장비 유경험자, 영상처리/신호처리 유경험자, 공학계열 전공자, 해외근무 가능자;2024.02.09;장석준;2013년 06월 20일;중소기업;42;디스플레이 제조용 기계 제조업;www.innotech2013.com
71;(주)하나텍시스템;(주)하나텍시스템 연구소 개발자 채용;경기 광명시;신입, 경력;고졸 이상;면접 후 결정;c, c++;고객사 커스터마이징 SW 개발;C,C++ 개발 경험자, Linux 개발 경험자;2024.02.18;김승일;2010년 01월 06일;중소기업;84;기타 무선 통신장비 제조업;www.hanatek.co.kr
72;(주)씨코드;Linux based 차량용 SW 개발자(C/C++) 모집 (신입,경력);경기 용인시;신입, 경력;대졸(2,3년제) 이상;면접 후 결정;c, c++;응용 소프트웨어 개발;전기/전자공학, 컴퓨터/시스템공학, 공학계열 전공자, 정보처리기사 자격증 보유자,해당 직무 경험자;2024.02.29;정원주;2009년 06월 08일;중소기업;65;컴퓨터 프로그래밍 서비스업;www.ccode.co.kr
73;(주)아이엠티;소프트웨어 개발 엔지니어 신입/경력 채용;세종시;신입, 경력;학력 무관;면접 후 결정;c++, c#;응용 소프트웨어, 시험장비 SW, GUI 설계 및 개발, 하드웨어 및 계측장비 제어;모집분야 및 방위산업 관련 유경험자;2024.02.04;조자연;2000년 03월 23일;중소기업;87;항공기, 우주선 및 보조장치 제조업;www.imtplus.com
74;(주)에스에이티정보;연구개발부 C++ 개발자 모집;서울 구로구;신입, 경력;대졸(2,3년제) 이상;면접 후 결정;c++;비정형 데이터 처리 문서 변환 부문 개발;없음;2024.01.28;오세용;2010년 03월 08일;중소기업;27;응용 소프트웨어 개발 및 공급업;www.satu.co.kr
75;(주)트리비젼;(주)트리비젼 S/W 개발자 및 엔지니어 모집;서울 서초구;신입, 경력;대졸(2,3년제) 이상;면접 후 결정;c, c++;Machine Vision 관련 프로그램 개발 및 대응;해당직무 인턴경력, 컴퓨터 시스템 공학 전공자;2024.04.25;이상호;2013년 03월 19일;벤처기업;8;방송장비 제조업;www.triv.co.kr
76;(주)루리텍;(주)루리텍 각 부문 소프트웨어개발자, 전문연구요원 및 신입/경력 직원 채용(C/C++, MFC);경기 안양시;신입, 경력;학력 무관;면접 후 결정;c, c++;PC 모션 제어 SW 개발;C/C++, MFC 개발 경험자, Motion 제어 및 I/O 제어 경험자, 컴퓨터 관련 학과 전공자;상시 채용;이광순;2012년 09월 19일;중소기업;72;그 외 기타 특수목적용 기계 제조업;www.luritech.com
77;(주)커미조아;SW 개발자 신입/경력 사원 모집 [2024];세종시;신입, 경력;학력 무관;면접 후 결정;c, c+, c#;모션 컨트롤러 응용 프로그램, 라이브러리/미들웨어, 임베디드 소프트웨어, 디바이스 드라이버 개발;석.박사 우대;2024.01.31;민경훈;2000년 08월 01일;벤처기업;40;산업처리공정 제어장비 제조업;www.comizoa.com
78;(주)코닉글로리;무선 정보보안 SW개발자 (C/C++);서울 강남구;신입, 경력;대졸(2,3년제) 이상;회사내규에 따름;c, c++;무선센서 신규개발 및 기능개선 작업, 탐지 및 차단성능 개선, 프로토콜 분석, 장애분석 및 대응;전산학/컴퓨터공학/응용소프트웨어공학/정보통신공학 전공자, 프로그램 관련 전문교육기관 이수자;상시 채용;조명제;2023년 05월 03일;중소기업;51;응용 소프트웨어 개발 및 공급업;www.kornicglory.co.kr
79;(주)아이티사이언스;(주) 아이티사이언스 기술연구소 소프트웨어 개발자;경기 안양시;신입, 경력;학력 무관;면접 후 결정;c, c++, c#;BMS SW, GUI 개발;컴퓨터 공학, 전산/정보통신 관련 전공자, 운전가능자;2024.02.12;노순석;2002년 11월 25일;중소기업;158;응용 소프트웨어 개발 및 공급업;www.itscience.co.kr
80;(주)큐비콘;[큐비콘] 제어 SW 개발자 모집 신입/경력 채용;경기 성남시;신입, 경력;대졸(4년제) 이상;면접 후 결정;c++;제어 소프트웨어 개발 및 유지보수;MFC UI 개발 능력, 제어 시스템 설계 및 개발 경험, TCP/IP, RS232, 통신 개발 경험, 영어 의사 소통 능력, 문제 해결 및 창의적인 사고 능력, 협업과 리더십 능력;상시 채용;이동구;2017년 07월 14일;중견기업;40;디지털 적층 성형기계 제조업;www.3dcubicon.com
